'Acer CB3-532-C47C 15.6" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage',199.0,'Acer','15.6 in','2 GB','16 GB','Intel Celeron','1.6 GHz','Chrome OS','12 h'
'Acer TravelMate P446-M-77QP - 14" - Core i7 5500U - 8 GB RAM - 500 GB HDD - US International',631.81,'Acer','14.0"','8 GB','500 GB','Intel Core i7','2.40 GHz','Windows 10','7 hours'
'Acer Chromebook R 13 CB5-312T-K0YQ - 13.3" - MT8173 - 4 GB RAM - 64 GB SSD - US',414.52,'Acer','13.3"','4 GB','64 GB','MediaTek M8173C Quad-Core Processor','2.10 GHz','Chrome','12 hours'
'Acer Predator Helios 300 15.6" Gaming Laptop i7-7700HQ 16GB 256GB 1TB GTX 1060',1309.0,'Acer','15.60 Inches','16 Gigabytes','1 Terabytes','Intel i7-7700HQ','2.8 Gigahertz','Windows 10','7 Hours'
'Acer Aspire R 15 R5-571TG-78G6 2-in-1 - 15.6" Touch - i7-6500U up to 3.1Ghz - 12GB - 1TB',719.0,'Acer','15.6"','12 GB','1 TB','Intel Core i7','2.5 GHz','Microsoft Windows, Windows 10','9 hour(s)'
'Acer Swift 3 SF314-51-71UU - 14" - Core i7 7500U - 8 GB RAM - 512 GB SSD - US International',777.81,'Acer','14.00 Inches','8 Gigabytes','512 Gigabytes','Intel i7-7500U','2.7 Gigahertz','Windows 10','10 Hours'
'Acer Aspire A315-31-C58L Notebook',299.99,'Acer','15.60 in','4.00 GB','1.00 TB','Celeron N3350','1.10 GHz','Windows 10','6.50 h'
'Acer Aspire F 15 F5-573-55W1 - 15.6" - Core i5 7200U - 8 GB RAM - 1 TB HDD - US International',535.83,'Acer','15.60 in','8 Gigabytes','1 Terabytes','Intel i5-7200U','2.5 Gigahertz','Windows 10',nan
'Refurbished Acer CB3-431-C5FM 14" Chromebook, Chrome, Intel Celeron N3160 Processor, 4GB RAM, 32GB Solid State Drive',195.29,'Acer','14.0"','4 GB','32 GB','Intel Celeron','1.60 GHz','Chrome','8 hours'
'15.6" A49120 8G 1TB Win10',369.0,'Acer','15.60 Inches','8 Gigabytes','1 Terabytes','AMD A4-9120','2.2 Gigahertz','Windows 10','6 Hours'
'Refurbished Acer Midnight Black 15.6" Aspire E5-571P-59QA Laptop PC with Intel Core i5-4210U Processor, 4GB Memory, 500GB Hard Drive and Windows 8.1 (Eligible for Free Windows 10 Upgrade)',419.0,'Acer','15.6"','4 GB','500 Gigabytes','Intel Core i5','1.70 GHz','Windows 8','7 hours'
'Acer - Aspire R 15 2-in-1 15.6" Full HD 10-point Multitouch Screen Laptop - Intel Dual-Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Windows 10 - Steel gray',719.0,'Acer','15.6',nan,'1000',nan,nan,nan,nan
'Acer Chromebook 15 CB515-1HT-P39B - Pentium N4200 / 1.1 GHz - Chrome OS - 4 GB RAM - 32 GB eMMC - 15.6" IPS touchscreen 1920 x 1080 (Full HD) - HD Graphics 505 - Wi-Fi, Bluetooth - pure silver - kbd: US',349.0,'Acer','15.6"','4 GB','32 GB','Intel Pentium','1.10 GHz','Chrome OS','14 Hour'
'Manufacturer Refurbished Acer Swift SF314-51-57CP 14" Intel Core i5-7200U 2.50 GHz 8 GB Ram 256 GB SSD Windows 10 Home',509.24,'Acer','14 in','8 GB','256 GB','Intel Core i5','2.5 GHz','Windows 10',nan
'Acer Swift 5 SF514-52T SF514-52T-82WQ 14" Intel Core i7 i7-8550U 16GB 512GB SSD - Windows 10 Home 1920 x 1080 IPS-Pro Ultrabook',1299.99,'Acer','14.00 in','16.00 GB','512.00 GB','Intel Core i7','1.80 GHz','Windows 10','8.00 h'
'Acer Aspire R 15 R5-571TG-78G8 - 15.6" FHD Touch - 7th Gen i7-7500U - 940MX - 12GB - 1TB',879.0,'Acer','15.6"','12 GB','1 TB','Intel Core i7','2.70 GHz','Microsoft Windows, Windows 10','9 Hour'
'Acer TravelMate B117-M-C9GH - 11.6" - Celeron N3160 - 4 GB RAM - 128 GB SSD - US International',307.25,'Acer','11.60 in','4 Gigabytes','128 Gigabytes','Intel N3160','1.6 Gigahertz','Windows 10','10 Hours'
'Manufacturer Refurbished Acer Aspire R5-471T-71LX 14" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i7-6500U Processor, 8GB RAM, 256GB Solid State Drive',575.0,'Acer','14.0"','8 GB','256 GB','Intel Core i7','2.5 GHz','Windows 10','7 hours'
'Refurbished Acer 17.3" Intel Core i7 2.8 GHz 16 GB Ram 1 TB HDD + 256 GB SSD Windows 10 Home',1417.49,'Acer','17.3 in','16 GB',nan,nan,'2.80 GHz','Windows 10',nan
'Acer TOUCH C771T-56G3 NX.GP6AA.003 11.6 INCHES BLACK CHROMEBOOK 11',516.04,'Acer','11.60 in','8.00 GB','64.00 GB','Intel Core i5','2.30 GHz','Chrome OS','14.00 h'
'Acer 17.3" Intel Core i7 2.8 GHz 16 GB Ram 1 TB HDD + 256 GB SSD Windows 10 Home|GX-792-7448',1730.39,'Acer','17.3 in','16 GB','1 TB','Intel Core i7','2.8 GHz','Windows 10','3 h'
'Acer TravelMate P258-M-540N - 15.6" - Core i5 6200U - 4 GB RAM - 500 GB HDD - US International',571.03,'Acer','15.6"','4 GB','500 GB','Intel Core i5','2.30 GHz','Windows 10','5 hours 30 minutes'
'Acer Nitro 5 AN515-41-F03E AMD FX-Series FX-9830P Full HD (1920 x 1080) IPS RX 550 Laptop',782.21,'Acer','15.6 in','16 GB','1 TB','AMD FX-9830P','3 GHz','Windows 10','6 h'
'Acer Aspire 5 A517-51-33Q4 17.3" 1600x900 Laptop i3-6006U 8GB 1TB Win10',535.83,'Acer','17.30 Inches','8 Gigabytes','1 Terabytes','Intel i3-6006U','2 Gigahertz','Windows 10','0 h'
'Refurbished Acer C720 Chromebook (11.6-Inch, 2GB)',129.99,'Acer','11.6\"',nan,nan,nan,nan,'Chrome OS',nan
'Acer Chromebook 14 CB3-431-C99D - 14" - Celeron N3060 - 4 GB RAM - 16 GB SSD - US',276.5,'Acer','14.00 Inches','4 Gigabytes','16 Gigabytes','Intel N3060','1.6 Gigahertz','Chrome OS','0 h'
'C771T-C1WS CELERON 3855U 1.6G 4GB 32GB 11.6IN TCH CHROME OS',329.99,'Acer','11.60 Inches','4 Gigabytes','32 Gigabytes','Intel 3855U','1.6 Gigahertz','Chrome OS',nan
'Acer TravelMate B117-M-C0DK - 11.6" - Celeron N3050 - 4 GB RAM - 32 GB SSD',180.0,'Acer','11.6"','4','32','Intel Celeron','1.6 GHz','Windows 10 Pro','12'
'Acer TravelMate P446-M-72N5 - 14" - Core i7 5500U - 8 GB RAM - 256 GB SSD - US International',708.47,'Acer','14.0"','8 GB','256 GB','Intel Core i7','2.40 GHz','Windows 10','0 h'
'Acer - R 11 CB5-132T-C8ZW 2-in-1 11.6" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - WhiteLaptop Notebook PC Computer Touchscreen',269.0,'Acer','11.6"','4 GB',nan,'Intel Celeron','1.60 GHz','Chrome OS','10 hours'
'Acer Aspire E 15 E5-553-T5K4 - 15.6" - A10 9600P - 8 GB RAM - 1 TB HDD - US International',479.99,'Acer','15.60 Inches','8 Gigabytes','1 Terabytes','AMD A10-9600P','2.4 Gigahertz','Windows 10','0 h'
