ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life
2642,"Refurbished Apple MacBook Pro 15"" i5 [2.4] [320GB] [4GB] MC371LL/A(2010)",465.19,Apple,15 Inches,,320 Gigabytes,,2.4 Gigahertz,,
2643,Apple MacBook Air 13.3 Inch Laptop MD508LL/A (Scratch and Dent Refurbished),449.99,Apple,,,,,,,
2644,Refurbished Apple MacBook Pro 13.3 Intel Core 2 Duo 2.26GHz 2GB 160GB Laptop MB990LL/A (Scratch and Dent),349.99,Apple,13.3 Inches,2 GB,160 Gigabytes,Intel Core 2 Duo,2.2599999999999998 Gigahertz,May Come Standard with Mac OSX  10.5.7 or higher,
2645,"Off Lease REFURBISHED Apple MacBook Pro 2.3GHz Quad Core i7 4GB 500GB DRW 15"" LAPTOP MD103LL/A B Grade",729.99,Apple,15 Inches,4 Gigabytes,500 Gibibytes,Intel Core i7,2.3 Gigahertz,Snow Leopard (10.6),7 h
2646,Refurbished Apple Macbook Pro 15.4 Intel Core 2 Duo 2.53GHz 4GB 250GB Laptop MC118LL/A (Scratch and Dent),564.52,Apple,15.4 in,4 GB,250 GB,Intel Core 2 Duo,2.53 GHz,Mac OS,
2647,"Apple MacBook Pro 13.3"" Core 2 Duo P8400 2.26GHz 4GB 500GB DVD±RW Notebook (Mid 2009) - Refurbished",379.99,Apple,"13.3\""",4 GB,500 GB,,,Microsoft Windows,
2648,"Apple MacBook Air - 13.3"" - Core i5 - 8 GB RAM - 256 GB flash storage - English",949.85,Apple,13.30 Inches,8 Gigabytes,256 Gigabytes,Intel,1.6 Gigahertz,Mac OS X 10.11 El Capitan,12 Hours
2649,"Refurbished Apple MacBook Pro 15.4"" Retina i7-3635QM 2.4GHz 16GB 256GB SSD Laptop ME664LL/A",1299.98,Apple,15.4,16 GB,,Intel Core i7,,Apple iOS,
2650,"Refurbished  MC905ll/A Apple MacBook Air - 13"" inch Laptop SL9600 - 2.13GHz Intel C2D 4GB RAM - OSX Yosemite 10.10",599,Apple,13,4 GB,,,,,
2651,Apple Certified Refurbished A Grade MacBook Air 11.6-inch Laptop 1.6GHz Dual Core i5 (Early 2015) MJVM2LL/A 128 GB SSD 4 GB Memory 1366 x 768 Display Mac OS X v10.12 Sierra Power Adapter,628.95,Apple,11.6 in,4 GB,128 GB,Intel Core i5,1.6 GHz,Mac OS,
