_id,ltable_ID,rtable_ID,predicted
5191,3,208,1
5203,3,230,1
5215,3,252,1
5227,3,274,1
5239,3,296,1
5251,3,318,1
5263,3,340,1
5275,3,362,1
5287,3,384,1
5299,3,406,1
5311,3,428,1
5323,3,450,1
5335,3,472,1
5347,3,494,1
5359,3,516,1
5371,3,538,1
5383,3,560,1
5395,3,582,1
5407,3,604,1
5419,3,626,1
5431,3,648,1
5443,3,670,1
5455,3,692,1
5467,3,714,1
5479,3,736,1
5491,3,758,1
5503,3,780,1
5515,3,802,1
5527,3,824,1
5539,3,846,1
5551,3,868,1
5563,3,890,1
5575,3,912,1
5587,3,934,1
5599,3,956,1
5611,3,978,1
5623,3,1000,1
5635,3,1022,1
5647,3,1044,1
5659,3,1066,1
5671,3,1088,1
5683,3,1110,1
5695,3,1132,1
5707,3,1154,1
5719,3,1176,1
5731,3,1198,1
5743,3,1220,1
5755,3,1242,1
5767,3,1264,1
5779,3,1286,1
5791,3,1308,1
5803,3,1330,1
5815,3,1352,1
5827,3,1374,1
5839,3,1396,1
5851,3,1418,1
5863,3,1440,1
5875,3,1462,1
5887,3,1484,1
5899,3,1506,1
5911,3,1528,1
5923,3,1550,1
5935,3,1572,1
5947,3,1594,1
5959,3,1616,1
5971,3,1638,1
5983,3,1660,1
5995,3,1682,1
6007,3,1704,1
6019,3,1726,1
6030,3,1747,1
6042,3,1769,1
6054,3,1791,1
6066,3,1813,1
6078,3,1835,1
6090,3,1857,1
6102,3,1879,1
6114,3,1901,1
6126,3,1923,1
6138,3,1945,1
6150,3,1967,1
6162,3,1989,1
6174,3,2011,1
6186,3,2033,1
6198,3,2055,1
6210,3,2077,1
6222,3,2099,1
6234,3,2121,1
6246,3,2143,1
6258,3,2165,1
6270,3,2187,1
6282,3,2209,1
6294,3,2231,1
6306,3,2253,1
6318,3,2275,1
6330,3,2297,1
6342,3,2319,1
6354,3,2341,1
6366,3,2363,1
6378,3,2385,1
6390,3,2407,1
6402,3,2429,1
6414,3,2451,1
6426,3,2473,1
6438,3,2495,1
6450,3,2517,1
6462,3,2539,1
6474,3,2561,1
6486,3,2583,1
6498,3,2605,1
6510,3,2627,1
6522,3,2649,1
6533,3,2670,1
6545,3,2692,1
6557,3,2714,1
6569,3,2736,1
6581,3,2758,1
6593,3,2780,1
6605,3,2802,1
6617,3,2824,1
6629,3,2846,1
6641,3,2868,1
6653,3,2890,1
6665,3,2912,1
6677,3,2934,1
6689,3,2956,1
6701,3,2978,1
6713,3,3000,1
6725,3,3022,1
6737,3,3044,1
6749,3,3066,1
6761,3,3088,1
10161,6,13,1
10173,6,35,1
10185,6,57,1
10197,6,79,1
