ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life,Clean Name
2422,"Refurbished Acer 14"" TravelMate Intel i5 2.3Ghz 8GB RAM 256GB SSD Win7Pro",811.64,Acer,14 in,8 GB,,,2.0 GHz,Windows 7,,Refurbished TravelMate Intel i5 3Ghz SSD Win7Pro
2423,Refurbished Acer Intel Core i5 3GHz 12GB Ram 1TB HDD + 128GB SSD Windows 10 Home|G3-710-UR11,811.64,Acer,0 in,12 GB,,,3 GHz,Windows 10,,Refurbished Intel i5 3GHz 12GB 128GB SSD G3 710 UR11
2424,"14"" I3 6100u  8GB 32GB Chrome",812.89,Acer,14,,,,,,,I3 6100u
2425,"Acer Spin 5 13.3"" FullHD Touchscreen Laptop i5-8250U 8GB 25GB SSD Win10 Pro",823.35,Acer,13.30 Inches,8 Gigabytes,256 Gigabytes,Intel i5-8250U,1.6 Gigahertz,Windows 10,0 h,Spin 13 FullHD Touchscreen i5 8250U 25GB SSD Win10
2426,"Refurbished Acer 15.6"" Intel Core i7 2.50 GHz 8 GB Ram 256GB SSD Windows 7 Professional",865.19,Acer,15.6 in,8 GB,,,2.50 GHz,Windows 10,,Refurbished Intel i7 50 GHz SSD Professional
2427,Refurbished Acer Intel Core i7 Quad-Core 3.6GHz 16GB Ram 1TB HDD Windows 10 Home|GX-785-UR18,865.19,Acer,0 in,16 GB,,,3.60 GHz,Windows 10,,Refurbished Intel i7 Quad GX 785 UR18
2428,"Refurbished Acer 13.3"" Intel Core i5 2.3GHz 8 GB Ram 256 GB SSD Windows 10 Home|R7-372T-582W",865.19,Acer,13.3 in,8 GB,,,2.30 GHz,Windows 10,,Refurbished 13 Intel i5 3GHz SSD R7 372T 582W
2429,Refurbished Acer Nitro V Laptop Intel Core i5 2.5 GHz 16GB Ram 1TB HDD 256GB SSD Windows 10,865.19,Acer,15.6 in,16 GB,256 GB,,2.5 GHz,Windows 10,,Refurbished Nitro V Intel i5 GHz SSD
2430,"Refurbished Acer 15.6"" Aspire Notebook Intel Core i7 2.70 GHz 12GB Ram 1TB HDD Windows10Home",865.19,Acer,15.6 in,12 GB,1 TB,,2.7 GHz,Windows 10,,Refurbished Aspire Notebook Intel i7 70 GHz 12GB Windows10Home
2431,Refurbished Acer Switch Notebook Intel Core i7 2.7GHz 8GB 512GB SSD Win10Home,865.19,Acer,12 in,8 GB,512 GB,,2.7 GHz,Windows 10,,Refurbished Switch Notebook Intel i7 7GHz 512GB SSD Win10Home
2432,"Acer TravelMate P249-M 14"" Notebook w/ Intel i7-6500U, 8GB RAM & 256GB SSD",869.23,Acer,14.00 Inches,8 Gigabytes,256 Gigabytes,Intel i7-6500U,2.5 Gigahertz,Windows 7,,TravelMate P249 M Notebook w Intel i7 6500U SSD
2433,"Acer Spin 3 SP315-51-54MW Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD 15.6"" Touchscreen 1920 x 1080 2-in-1 Laptop Windows 10 Home 64-Bit Tablet Notebook",878.95,Acer,"15.6""",8 GB,,Intel Core i5,2.30 GHz,"Microsoft Windows, Windows 10",9 Hour,Spin SP315 51 54MW Intel i5 6th 6200U 30 GHz SSD Touchscreen 1920 x 1080 Bit Tablet Notebook
2434,"Acer Veriton Z4820G All-in-One Computer 24""T Ci57500 8GB 1TB Win10P",903.03,Acer,23.80 Inches,8 Gigabytes,1 Terabytes,Intel i5-7500,3.4 Gigahertz,Windows 10,0 h,Veriton Z4820G All 24 T Ci57500 Win10P
